Id	Globisporangium sylvaticum	Globisporangium heterothallicum	Pythium monospermum	Pythium arrhenomanes	Pythium aff._hydnosporum	Globisporangium ultimum_var._ultimum	Globisporangium rostratifingens	Globisporangium apiculatum	Globisporangium attrantheridium	Globisporangium intermedium	Pythium sp._nov
year2020_soil_P33_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0.428571428571429	0	0	0	0.571428571428571	0	0
year2020_soil_P34_adaptertrimmed_Pythium_R1.fastq	0	1	0	0	0	0	0	0	0	0	0
year2020_soil_P36_adaptertrimmed_Pythium_R1.fastq	0.493472584856397	0	0	0.328328981723238	0.178198433420366	0	0	0	0	0	0
year2020_soil_P37_adaptertrimmed_Pythium_R1.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
year2020_soil_P38_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0
year2020_soil_P39_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	1	0	0
year2020_soil_P4_adaptertrimmed_Pythium_R1.fastq	0	0.343186733958183	0	0	0	0	0	0	0.656813266041817	0	0
year2020_soil_P40_adaptertrimmed_Pythium_R1.fastq	0.0069060773480663	0	0	0	0	0	0	0	0	0	0
year2020_soil_P41_adaptertrimmed_Pythium_R1.fastq	1	0	0	0	0	0	0	0	0	0	0
year2020_soil_P42_adaptertrimmed_Pythium_R1.fastq	0.610473428373024	0.0248764347861607	0.0758547444957314	0	0.0392140843919775	0	0.0244679547404109	0	0.20840651934153	0.00588211265879662	0
year2020_soil_P43_adaptertrimmed_Pythium_R1.fastq	0.200963670475866	0.0448575814429473	0.0307436465973051	0.024859287054409	0.042725567115811	0	0.0210643015521064	0	0.351398601398601	0.171286031042129	0.00511683438512707
year2020_soil_P44_adaptertrimmed_Pythium_R1.fastq	0.222162863466382	0.28184385255285	0.0152255208730825	0.00725024803480119	0.0168663664809586	0	0.187399832099519	0	0.0314431809509273	0.0151492024727162	0.0080897504388308
year2020_soil_P45_adaptertrimmed_Pythium_R1.fastq	0.0956303421817259	0.269485740077294	0	0.00448531693418714	0.223617027278626	0.0750655871815848	0	0	0.0385342322773562	0.110496770007617	0
year2020_soil_P5_adaptertrimmed_Pythium_R1.fastq	0	0.388410336726703	0	0	0.0158183241973375	0.396711041503524	0	0	0.0537196554424432	0.0614722004698512	0.0464369616288175
year2020_soil_P6_adaptertrimmed_Pythium_R1.fastq	0	1	0	0	0	0	0	0	0	0	0
year2020_soil_P7_adaptertrimmed_Pythium_R1.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
year2020_soil_P8_adaptertrimmed_Pythium_R1.fastq	0.347657824719826	0	0	0.011529468676933	0.051519793598323	0	0.0114488430218496	0	0.205595420462791	0	0.0361202934773845
year2020_soil_P9_adaptertrimmed_Pythium_R1.fastq	0.332111385266126	0	0.0466690165667959	0	0.12301727176595	0	0	0	0.261825872400423	0	0
year2021_soil_P1_adaptertrimmed_Pythium_R1.fastq	0.0234933605720123	0.642492339121553	0	0	0.10929519918284	0.0316649642492339	0	0	0	0	0.193054136874362
